compound_id,smiles
ZINC000000519827,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OC(=O)C[C@H]21
ZINC000000525655,C=C1C(=O)O[C@@H]2C[C@]3(C)CCCC(=C)[C@H]3C[C@@H]12
ZINC000000526834,COc1cc(CCC(C)=O)ccc1O
ZINC000000538127,CC(C)=CCc1c2c(c3occ(-c4ccc(O)cc4)c(=O)c3c1O)C=CC(C)(C)O2
ZINC000000586482,C=CCc1ccc(O)c(O)c1
ZINC000000595402,CC(C)=C[C@H]1Oc2cc(O)ccc2-c2oc3cc(O)cc(O)c3c(=O)c21
ZINC000000597214,COc1cc2c(cc1OC)-c1c(C)c3ccc(OC)c(OC)c3c[n+]1CC2
ZINC000000607911,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3
ZINC000000608186,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O
ZINC000000608233,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2
ZINC000000621853,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
ZINC000000622123,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
ZINC000000689683,COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O
ZINC000000777954,C/C=C(\C)C(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(=O)/C(C)=C/C
ZINC000000895030,O=C(O)CCC(=O)O
ZINC000000895032,N[C@@H](CC(=O)O)C(=O)O
ZINC000000895034,N[C@@H](CO)C(=O)O
ZINC000000895042,N[C@@H](CS)C(=O)O
ZINC000000895045,O=c1cc[nH]c(=O)[nH]1
ZINC000000895048,OCC(O)CO
ZINC000000895074,O=C(O)C[C@H](O)C(=O)O
ZINC000000895077,N[C@@H](CCS)C(=O)O
